run_batch_idx,global_item_idx,timestamp,total_items_processed,successful_items,failed_items,avg_generation_time,avg_judging_time,avg_reward,total_tokens_generated,memory_usage_mb
0,13,1747630324.2504504,10,10,0,12.003326869010925,485.69381647109986,1.533333333333333,1297,15324.63330078125
0,24,1747630324.8618777,20,20,0,13.796004474163055,416.134554541111,1.4999999999999998,2894,15324.63330078125
0,33,1747630325.4244516,30,30,0,13.775379196802776,345.58885381221774,1.5444444444444443,4489,15324.63330078125
0,43,1747630325.8879197,40,40,0,13.677963322401046,275.1870476424694,1.5499999999999994,5815,15324.63330078125
1,48,1747630864.547174,50,50,0,13.406225075721741,313.56452210903166,1.5533333333333332,7110,15324.63330078125
1,64,1747630865.0165107,60,60,0,13.38680683374405,316.7079305887222,1.5444444444444445,8667,15324.63330078125
1,71,1747630865.4681058,70,70,0,13.184377101489476,301.89847410746984,1.5428571428571427,10141,15324.63330078125
1,82,1747630865.9866748,80,80,0,13.5573273986578,273.2166469752789,1.5416666666666665,12071,15324.63330078125
2,88,1747631395.2669775,90,90,0,13.442313930723403,294.4085938533147,1.5148148148148148,13467,15324.63330078125
2,104,1747631395.864919,100,100,0,13.462836625576019,297.740700302124,1.5233333333333332,14998,15324.63330078125
2,114,1747631396.4204974,110,110,0,13.559976213628596,287.67888951951807,1.521212121212121,16847,15324.63330078125
2,122,1747631396.904292,120,120,0,13.440493041276932,268.1810114602248,1.5166666666666664,18406,15324.63330078125
3,129,1747631911.7830615,130,130,0,13.339675765771132,282.2675187642758,1.5205128205128202,19917,15324.63330078125
3,143,1747631912.3736172,140,140,0,13.402172563757215,284.8139427781105,1.4999999999999998,21419,15324.63330078125
3,153,1747631912.8995757,150,150,0,13.311002109845479,278.5346792984009,1.484444444444444,22637,15324.63330078125
3,163,1747631913.4096925,160,160,0,13.291949163377286,265.0672776699066,1.4791666666666665,23867,15324.63330078125
4,168,1747632452.8076012,170,170,0,13.242758682194879,277.01914869056026,1.472549019607843,25222,15324.63330078125
4,184,1747632453.373503,180,180,0,13.267562418513828,280.43905412223603,1.4722222222222217,26426,15324.63330078125
4,192,1747632453.9299006,190,190,0,13.234402051724885,276.81591593466305,1.4789473684210523,27691,15324.63330078125
4,203,1747632454.471259,200,200,0,13.325316352844238,266.50783908605575,1.475,29114,15324.63330078125
5,204,1747633050.1667893,210,210,0,13.365639424324035,278.32703399431136,1.4746031746031747,30663,15324.63330078125
5,223,1747633050.8249822,220,220,0,13.417492742971941,282.1152304746888,1.4712121212121212,32165,15324.63330078125
5,233,1747633051.3133755,230,230,0,13.434576877303746,280.1256111093189,1.4710144927536235,33730,15324.63330078125
5,243,1747633051.7776766,240,240,0,13.582408050696055,271.9640055626631,1.4652777777777781,35384,15324.63330078125
6,254,1747633576.453333,250,250,0,13.541846385002136,278.86696582508085,1.4640000000000002,36769,15324.63330078125
6,263,1747633576.8226275,260,260,0,13.583795685034532,280.77922161083956,1.4692307692307696,38178,15324.63330078125
6,272,1747633577.273714,270,270,0,13.562809382544623,277.1395772633729,1.47283950617284,39574,15324.63330078125
6,283,1747633577.8232307,280,280,0,13.511349210568836,269.1355585030147,1.4726190476190482,40856,15324.63330078125
7,288,1747634145.7537844,290,290,0,13.4567417309202,277.16994012799756,1.4735632183908054,42082,15324.63330078125
7,302,1747634146.357767,300,300,0,13.50243421792984,280.1816738557816,1.4777777777777785,43806,15324.63330078125
7,312,1747634146.896461,310,310,0,13.578383608787291,278.03635352042414,1.479569892473119,45458,15324.63330078125
7,321,1747634147.3944442,320,320,0,13.59402712136507,271.70022930726407,1.480208333333335,46888,15324.63330078125
8,331,1747634732.5441651,330,330,0,13.707087077516498,278.1597872885791,1.4696969696969715,48694,15324.63330078125
8,342,1747634733.1418967,340,340,0,13.729380181256463,279.8111931120648,1.4696078431372566,50188,15324.63330078125
8,353,1747634733.6444387,350,350,0,13.723220929418291,277.44348496300836,1.4695238095238112,51641,15324.63330078125
8,363,1747634734.3294337,360,360,0,13.706146390570535,271.464515015814,1.471296296296298,53236,15324.63330078125
9,367,1747635289.3960428,370,370,0,13.71554489973429,277.01226385735174,1.470270270270272,54797,15324.63330078125
9,382,1747635289.8977435,380,380,0,13.76843546377985,278.03110628379017,1.4701754385964927,56504,15324.63330078125
9,394,1747635290.4995263,390,390,0,13.772136482825646,275.4060861330766,1.470085470085471,57971,15324.63330078125
9,401,1747635290.9462066,400,400,0,13.72055410206318,269.8449011558294,1.4716666666666673,59284,15324.63330078125
10,412,1747635811.5531209,410,410,0,13.689058310229603,274.3353470610409,1.4756097560975618,60683,15324.63330078125
10,423,1747635812.223678,420,420,0,13.6643666437694,275.6690471955708,1.4769841269841275,62291,15324.63330078125
10,433,1747635812.6891716,430,430,0,13.637223976157433,273.8838813044304,1.4744186046511634,63775,15324.63330078125
10,443,1747635813.294676,440,440,0,13.65413930253549,269.1561203707348,1.4742424242424246,65410,15324.63330078125
11,445,1747636341.5057144,450,450,0,13.627338763342964,273.5123524512185,1.4748148148148152,66747,15324.63330078125
11,464,1747636342.091651,460,460,0,13.650411142991937,274.68343549604003,1.4746376811594208,68400,15324.63330078125
11,472,1747636342.647479,470,470,0,13.655318512307836,272.7414486053142,1.4723404255319157,69865,15324.63330078125
11,483,1747636343.204294,480,480,0,13.614611537257831,268.1717677672704,1.476388888888889,71198,15324.63330078125
12,493,1747636903.7649481,490,490,0,13.611370092508745,272.7072829120013,1.4727891156462587,72612,15324.63330078125
12,502,1747636904.462776,500,500,0,13.60722698688507,274.1955356411934,1.4726666666666666,74151,15324.63330078125
12,514,1747636904.9057467,510,510,0,13.629814497162315,272.9236156678667,1.4705882352941175,75826,15324.63330078125
12,523,1747636905.5024672,520,520,0,13.643474233150481,268.9295159115241,1.4685897435897437,77504,15324.63330078125
